epoch	loss	accuracy	val_loss	val_accuracy
0	1.966253638267517	0.46515724062919617	1.7676403522491455	0.4969818890094757
1	1.855143666267395	0.49132075905799866	1.7576740980148315	0.4969818890094757
2	1.6445300579071045	0.5318238735198975	1.5388480424880981	0.5342052578926086
3	1.524664044380188	0.548930823802948	1.5022590160369873	0.5382294058799744
4	1.455746054649353	0.5532075762748718	1.4153996706008911	0.5482897162437439
5	1.4121407270431519	0.5554717183113098	1.387121558189392	0.5533199310302734
6	1.3457059860229492	0.5625157356262207	1.351504921913147	0.5543259382247925
7	1.3035956621170044	0.5642767548561096	1.3735538721084595	0.5321931838989258
8	1.2763465642929077	0.5662893056869507	1.2891494035720825	0.559356153011322
9	1.252360224723816	0.5730817317962646	1.2732598781585693	0.5543259382247925
10	1.2354131937026978	0.5816352367401123	1.2741256952285767	0.559356153011322
11	1.2456389665603638	0.5766037702560425	1.2834113836288452	0.5643863081932068
12	1.2171239852905273	0.5768553614616394	1.2547613382339478	0.5724346041679382
13	1.208902359008789	0.5796226263046265	1.2550621032714844	0.573440670967102
14	1.171812653541565	0.5871698260307312	1.2528268098831177	0.5704225301742554
15	1.1698527336120605	0.5914465188980103	1.2323154211044312	0.5653923749923706
16	1.1583592891693115	0.5891823768615723	1.2411390542984009	0.573440670967102
17	1.1253317594528198	0.600503146648407	1.2259142398834229	0.5684104561805725
18	1.1402394771575928	0.593710720539093	1.229344367980957	0.5704225301742554
19	1.1288193464279175	0.5954716801643372	1.2021875381469727	0.5824949741363525
20	1.1260448694229126	0.6015094518661499	1.2104477882385254	0.5754527449607849
21	1.0927839279174805	0.6062893271446228	1.2462027072906494	0.5724346041679382
22	1.0755521059036255	0.6145911812782288	1.1948907375335693	0.5824949741363525
23	1.0487309694290161	0.6226415038108826	1.2484028339385986	0.5824949741363525
24	1.0445265769958496	0.6306918263435364	1.2045478820800781	0.577464759349823
25	1.022253155708313	0.6188679337501526	1.1818946599960327	0.5784708261489868
26	1.041668176651001	0.6211320757865906	1.1770353317260742	0.5814889073371887
27	1.0134073495864868	0.6241509318351746	1.1929439306259155	0.5855130553245544
28	0.9963167905807495	0.6369811296463013	1.1829771995544434	0.5855130553245544
29	1.0106557607650757	0.6291823983192444	1.1726824045181274	0.5885311961174011
30	0.972720742225647	0.6392452716827393	1.1610743999481201	0.5794768333435059
31	0.9542956352233887	0.64754718542099	1.2137001752853394	0.5875251293182373
32	0.9463337063789368	0.6472955942153931	1.2022775411605835	0.591549277305603
33	0.953071117401123	0.6457861661911011	1.1782703399658203	0.591549277305603
34	0.9013063311576843	0.6729559898376465	1.179296612739563	0.5955734252929688
35	0.9054587483406067	0.6636477708816528	1.1859877109527588	0.5845070481300354
36	0.9010383486747742	0.6623899340629578	1.1927986145019531	0.5925553441047668
37	0.8822218775749207	0.6706918478012085	1.1984455585479736	0.5985915660858154
38	0.8629395365715027	0.6734591126441956	1.1868816614151	0.6016096472740173
39	0.8507631421089172	0.6832704544067383	1.211355209350586	0.5895372033119202
